Marike Bärwald
Hanne Buchman
Angela Hering
Marga Haber
Petra Neuhaus
Madleen Kautz
Natascha Reichenau
Rafaela Wittke
Luise Trausch
Susanna Schroth
Sibylle Lobe
Anne Sperl
Bettina Riemenschneider
Miriam Auernheimer
Louise Habich
Edda Ketterer
Gretel Sauerbruch
Adelheid Maier
Fanny Kistler
Lotte Ulmer
Leonie Wenz
Rose Frisch
Katja Metze
Mia Harnisch
Margret Tetzlaff
Cecilie Schnell
Monica Pruefer
Siglind Wölfflin
Traute Hecht
Mara Lettmann
Sofia Bechtold
Sabrina Apfelbaum
Mia Ehrenfeld
Yasmin Schiller
Angela Ahle
Ronja Kehrer
Lotte Herder
Madeleine Hagmann
Sina Vetter
Pia Honig
Valentina Hönigswald
Mareike Altschul
Gunda Reichleitner
Catrin Bennewitz
Felicitas Röhr
Layla Lehning
Marga Schott
Rosa Dedekind
Brunhild Bahr
Esther Rausch
Rafaela Schönfinkel
Ottilie Gilger
Agnes Wiedemann
Leonie Detmold
Greta Hausle
Emelie Albert
Stella Bemelmans
Carina Bachmann
Julia Vogl
Clara Scherer
Paulina Fichter
Mona Manz
Amina Frankenberger
Helena Burger
Natalie Hausner
Celine Puchner
Lara Wagner
Anika Werner
Carolina Bruckner
Alexandra Pichler
Milena Mayr
Amelie Fuchs
Anna Berger
Rebecca Widrich
Sophia Burger
Carolina Boltzmann
Naomi Dorn
Melissa Fessler
Livia Fritzl
Katharina Weingartner
Lisa Hoferle
Elina Senefelder
Emilia Weinheber
Selina Wach
Dagmar Skovgaard
Iben Mortensen
Kirsten Vestergaard
Bitten Graversen
Edith Kofod
Jasmin Eskildsen
Oline Hoffmann
Elin Ludvigsen
Anna Fabricius
Magda Hedegaard
Kate Buch
Else Hansen
Jenny Svenningsen
Olivia Bay
Dorthea Bruun
Sonja Frost
Karin Kristensen
Solvej Nissen
Susanna Michelsen
Katja Rohde
Tine Jeppesen
Lene Pedersen
Malene Isaksen
Birthe Brink
Emma Truelsen
Karin Nygaard
Ann Kjærgaard
Lise Johnsen
Karoline Kruse
