Higashi Noriyori
Shiro Togai
Tabata Keishi
Takano Eisen
Tengan Norihide
Kinjo Kenzaburo
Ando Gengyo
Umesaka Korechika
Takahashi Takuma
Hayashi Toyoshigej
Koshikawa Hiroharu
Sugai Koin
Shinobu Gyukudo
Kirigaya Kyoden
Yajima Yoshitake
Tsutsumi Takeshi
Toda Hanshiro
Yaguchi Takamori
Utsumi Heihachiro
Yamabe Jomeij
Oyakawa Fujimaro
Hamano Mitsuhide
Yamaha Akinari
Chijimatsu Yasuhiro
Asari Dai
Yoshikawa Jo
Wakamura Kakuzo
Hatanaka Kaemon
Otani Toshi
Baisho Hisayukij
Shiraki Norishige
Gima Shinsui
Kuwahara Mikio
Narita Sukeyasu
Matsutani Masaaki
Tani Sukenobu
Narita Rai
Katsuragi Tsumemasa
Sawachika Yosai
Izumo Seisonj
Kawakami Morichika
Honda Iemoto
Fujii Morinari
Azai Tokiuji
Yoshida Kiyoharu
Kira Yasutane
Tokudaiji Yoriharu
Satomi Tomosue
Mori Toshinobuj
Kitabatake Michitomo
Furuta Naoaki
Ando Tomotoshi
Tokugawa Hikomoro
Yagyuu Yoshimochi
Satou Masatada
Kumagaya Yoriuji
Tozawa Masatoshi
Gamou Mochikagej
Sen Hirayoshi
Morikawa Kiyotame
Sen Arishige
Nomiya Shigetane
Kawabe Chikamitsu
Shimokoube Akiyuki
Fujioji Hikonaka
Nagai Suketsune
Saigou Moriyukij
Taira Tadakatsu
Fujioka Morikane
Nishitouin Ariyasu
